ID;SMILES;Affinity;ID_real
BACE_1;CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]2C[C@H](C)CCCCCN(CC)C(=O)c1cc(cc(c1)C(=O)N2)OCC;0.016;0
BACE_4;C[C@@H]1CCCCCCOCC(=O)N(C)[C@@H](C)C(=O)N[C@@H](C1)[C@H](O)CNC2(CC2)c3cc(ccc3)C(C)(C)C;0.0075;1
BACE_5;CCCC2=CC(CNC[C@@H](O)[C@@H]1C[C@H](C)CCCCCCOCC(=O)N(C)[C@@H](C)C(=O)N1)=NN2;0.4;2
BACE_6;CCN2CCCCC[C@@H](C)C[C@H](NC(=O)c1cc(ccc1)C2=O)[C@H](O)CNCc3cc(ccc3)C(C)C;0.021;3
BACE_7;CC(C)c5cc(CNC[C@@H](O)[C@@H]4C[C@H](C)CCCCCN([C@H](C)c1ccccc1)C(=O)c2cc(cc(c2)C3=NC=CO3)C(=O)N4)ccc5;0.002;4
BACE_8;CC(C)c3cccc(CNC[C@@H](O)[C@@H]2C[C@H](C)CCOCCCCNc1cc(cc(Cl)n1)C(=O)N2)c3;0.031;5
BACE_9;COCc1cc2cc(c1)C(=O)N[C@@H](C[C@H](C)CCCCCCCN2)[C@H](O)CNCc3cc(ccc3)C(C)C;0.093;6
BACE_10;COCc1cc2cc(c1)C(=O)N[C@@H](C[C@H](C)CCOCCCCN2)[C@H](O)CNCc3cc(ccc3)C(C)C;0.57;7
BACE_11;CC(C)c3cc(CNC[C@@H](O)[C@@H]2Cc1cc(ccc1)OCCCCCC(=O)N(C)[C@@H](C)C(=O)N2)ccc3;0.032;8
BACE_12;COc4cc1cc(NCCCCc3cccc(C[C@H](NC1=O)[C@H](O)CNCc2cccc(c2)C(C)C)c3)n4;0.0078;9
BACE_13;COC[C@H]1CN[C@H](CO1)[C@@H](O)[C@@H]4Cc2cccc(c2)OCCCCNc3cc(COC)cc(c3)C(=O)N4;8.3;10
BACE_14;CC(C)c1cc(ccc1)C2(CC2)NC[C@@H](O)[C@@H]5Cc3cc(ccc3)OCCCCNc4cc(cc(c4)C(=O)N5)C(C)=O;0.009;11
BACE_15;COCc1cc3cc(c1)C(=O)N[C@@H](Cc2cc(ccc2)OCCCCO3)[C@H](O)CNCc4cc(ccc4)C(C)C;0.072;12
BACE_16;CC(=O)COc1cc3cc(c1)C(=O)N[C@@H](Cc2cc(ccc2)OCCCCO3)[C@H](O)CNCc4cc(ccc4)C(C)C;0.034;13
BACE_19;CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCc2cccc(CS(=O)(=O)C[C@@H](C)C(=O)N1)c2;0.26;14
BACE_20;CCCCNC(=O)[C@H](C)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c2cc(NCCCC)nc(c2)OC;0.77;15
BACE_21;CC(C)c2cc(CNC[C@@H](O)[C@@H]1C[C@H](C)CC/C=C/CCCCC(=O)N(C)[C@@H](C)C(=O)N1)ccc2;0.3;16
BACE_22;C[C@H](NC[C@@H](O)[C@@H]1C[C@H](C)CCCCCCCCC(=O)N(C)[C@@H](C)C(=O)N1)c2cccc(Br)c2;0.055;17
BACE_23;C[C@@H]1CCCCCCCCC(=O)N(C)[C@@H](C)C(=O)N[C@@H](C1)[C@H](O)CNC2(CC2)c3cc(ccn3)C(C)(C)C;0.002;18
BACE_24;CCOc2cc(CNC[C@@H](O)[C@@H]1C[C@H](C)CCCCCCCCC(=O)N(C)[C@@H](C)C(=O)N1)c(cc2)C(F)(F)F;0.053;19
BACE_25;CC(C)Cc2cc(CNC[C@@H](O)[C@@H]1C[C@H](C)CC/C=C/CCCCC(=O)N(C)[C@@H](C)C(=O)N1)cnc2;0.13;20
BACE_26;CC(C)Cc1cc(cnc1)C(C)(C)NC[C@@H](O)[C@@H]2C[C@H](C)CCCCCCCCC(=O)N(C)[C@@H](C)C(=O)N2;0.27;21
BACE_27;C[C@@H]1CCCCCCCCC(=O)N(C)[C@@H](C)C(=O)N[C@@H](C1)[C@H](O)CNC(C)(C)C2C=C(CC(C)(C)C)ON=2;0.0058;22
BACE_28;C[C@@H]1CCCCCCCCC(=O)N(C)[C@@H](C)C(=O)N[C@@H](C1)[C@H](O)CNC(C)(C)c2cccc(Br)c2;0.23;23
BACE_29;C[C@@H]1CCCCCCCCC(=O)N(C)[C@@H](C)C(=O)N[C@@H](C1)[C@H](O)CNCC2C=C(CC(C)(C)C)ON=2;0.0035;24
BACE_30;C[C@H](NC[C@@H](O)[C@@H]1C[C@H](C)CCCCCCCCC(=O)N(C)[C@@H](C)C(=O)N1)C2C=C(CC(C)(C)C)ON=2;0.001;25
BACE_31;C[C@@H]1CCCCCCCCC(=O)N(C)[C@@H](C)C(=O)N[C@@H](C1)[C@H](O)CNC(C)(C)C2=NN=C(CC(C)(C)C)S2;0.24;26
BACE_32;CC(C)c2cccc(CNC[C@@H](O)[C@@H]1C[C@H](C)CCCCCCCCC(=O)N(C)CC(=O)N1)c2;0.36;27
BACE_33;CC(C)c2cc(CNC[C@@H](O)[C@@H]1C[C@H](C)CCCCC[C@H](C)CCC(=O)N(C)[C@@H](C)C(=O)N1)ccc2;0.019;28
BACE_34;CC(C)c2cccc(CNC[C@@H](O)[C@@H]1C[C@H](C)CCCCCOCC(=O)N(C)[C@@H](C)C(=O)N1)c2;1;29
BACE_35;C[C@@H]1CCCCCCOCC(=O)N(C)[C@@H](C)C(=O)N[C@@H](C1)[C@H](O)CNCc2cncc(Br)c2;0.51;30
BACE_36;CC(C)Oc1ccc(cc1CNC[C@@H](O)[C@@H]2C[C@H](C)CCCCCCOCC(=O)N(C)[C@@H](C)C(=O)N2)C3CC3;1.5;31
BACE_37;C[C@@H]1CCCCCCNC(=O)C[C@@H](C)C(=O)N[C@@H](C1)[C@H](O)CNCc2cccc(c2)C(C)(C)C;5.9;32
BACE_38;C[C@@H]1CCCCCCCCS(=O)(=O)C[C@@H](C)C(=O)N[C@@H](C1)[C@H](O)CNC2(CC2)c3cc(ccc3)C(C)(C)C;0.024;33
BACE_39;C[C@H](NC[C@@H](O)[C@@H]1C[C@H](C)CCCCCCCCS(=O)(=O)C[C@@H](C)C(=O)N1)C2C=C(CC(C)(C)C)ON=2;0.021;34
BACE_40;CCN3CCCCC[C@@H](C)C[C@H](NC(=O)c1cc(cc(c1)C2=NC=CO2)C3=O)[C@H](O)CNCc4cc(ccc4)C(C)C;0.0035;35
BACE_41;CC(C)c3cccc(CNC[C@@H](O)[C@@H]2C[C@H](C)CCCCCCCNc1cc(cc(C)n1)C(=O)N2)c3;0.029;36
BACE_42;CC(C)c3cccc(CNC[C@@H](O)[C@@H]2C[C@H](C)CCCCCCCN(C)c1cc(ccn1)C(=O)N2)c3;0.74;37
BACE_43;COc3cc1cc(NCCCCCCC[C@@H](C)C[C@H](NC1=O)[C@H](O)CNCc2cc(ccc2)C(C)C)n3;0.014;38
BACE_44;CC(C)c3cccc(CNC[C@@H](O)[C@@H]2C[C@H](C)CCCCCCN(C)c1cc(cc(C)n1)C(=O)N2)c3;2.1;39
BACE_45;CC(C)c3cccc(CNC[C@@H](O)[C@@H]2C/C(/C)=C/CCCCCCNc1cc(cc(C)n1)C(=O)N2)c3;0.0073;40
BACE_46;CC(C)c3cccc(CNC[C@@H](O)[C@@H]2C[C@H](C)C/C=C/CCCCNc1cc(cc(Cl)n1)C(=O)N2)c3;0.0095;41
BACE_47;COCc4cc1cc(NCCCCOCC[C@@H](C)C[C@H](NC1=O)[C@H](O)CNC2(CC2)c3cc(ccc3)C(C)(C)C)n4;0.0055;42
