mol_id,MediumBlue,DarkGreen,DarkGray,DarkRed,MustardYellow
xyz_newmol0,0.0,0.0,0.4,0.4,0.2
xyz_newmol10,0.2,0.0,0.2,0.6,0.0
xyz_newmol11,0.0,0.0,0.4,0.4,0.2
xyz_newmol12,0.2,0.0,0.0,0.0,0.8
xyz_newmol13,0.4,0.0,0.2,0.0,0.4
xyz_newmol14,0.2,0.0,0.0,0.4,0.4
xyz_newmol15,0.0,0.0,0.6,0.2,0.2
xyz_newmol16,0.0,0.2,0.2,0.4,0.2
xyz_newmol17,0.2,0.0,0.0,0.6,0.2
xyz_newmol18,0.0,0.0,0.2,0.6,0.2
xyz_newmol19,0.0,0.0,0.4,0.4,0.2
xyz_newmol1,0.6,0.0,0.2,0.0,0.2
xyz_newmol2,0.2,0.0,0.6,0.2,0.0
xyz_newmol3,0.0,0.2,0.2,0.2,0.4
xyz_newmol4,0.0,0.0,0.2,0.2,0.6
xyz_newmol5,0.4,0.0,0.2,0.4,0.0
xyz_newmol6,0.6,0.0,0.2,0.0,0.2
xyz_newmol7,0.2,0.0,0.2,0.6,0.0
xyz_newmol8,0.2,0.0,0.4,0.4,0.0
xyz_newmol9,0.0,0.0,0.2,0.6,0.2
