Molécula,Azul Rey,Verde,Gris Oscuro,Rojo Vino,Mostaza/Dorado
xyz_newmol0,0.0,0.0,0.6667,0.3333,0.0
xyz_newmol10,0.0,0.0,0.0,1.0,0.0
xyz_newmol11,0.0,0.0,0.3333,0.6667,0.0
xyz_newmol12,0.0,0.0,0.0,0.3333,0.6667
xyz_newmol13,0.0,0.0,1.0,0.0,0.0
xyz_newmol14,0.0,0.0,0.3333,0.3333,0.3333
xyz_newmol15,0.0,0.0,0.3333,0.3333,0.3333
xyz_newmol16,0.0,0.6667,0.0,0.0,0.3333
xyz_newmol17,0.0,0.6667,0.0,0.0,0.3333
xyz_newmol18,0.0,0.0,0.3333,0.3333,0.3333
xyz_newmol19,0.0,0.0,0.0,0.6667,0.3333
xyz_newmol1,0.3333,0.0,0.0,0.0,0.6667
xyz_newmol2,0.0,0.0,0.3333,0.6667,0.0
xyz_newmol3,0.0,0.3333,0.0,0.3333,0.3333
xyz_newmol4,0.0,0.0,0.0,0.6667,0.3333
xyz_newmol5,0.0,0.0,0.3333,0.3333,0.3333
xyz_newmol6,0.0,0.0,0.3333,0.0,0.6667
xyz_newmol7,0.0,0.0,0.3333,0.3333,0.3333
xyz_newmol8,0.0,0.0,0.3333,0.3333,0.3333
xyz_newmol9,0.0,0.0,0.6667,0.3333,0.0
